task_id,image_col,image_path,status,http_status,error,ai_generated_score,flagged,raw_response
avg_R_2BhyCb4ecx2QBdK_0001,total_screenshot_path,data/qualtrics/team_example/endline/uploads/R_2BhyCb4ecx2QBdK/Screenshot_20251218_155207.png,ok,200,,0.01,0,"{""status"": ""success"", ""request"": {""id"": ""req_jYgYMCeomJn0ay4pQUb7l"", ""timestamp"": 1768824299.567522, ""operations"": 5}, ""type"": {""ai_generated"": 0.01}, ""media"": {""id"": ""med_jYgYJN84yUTY1N42NG59h"", ""uri"": ""Screenshot_20251218_155207.png""}}"
avg_R_8lSyyTQnx32R75T_0002,total_screenshot_path,data/qualtrics/team_example/endline/uploads/R_8lSyyTQnx32R75T/Screenshot_20251218_155207.png,ok,200,,0.01,0,"{""status"": ""success"", ""request"": {""id"": ""req_jYgZfE4tZZ89ZmgmNRUSe"", ""timestamp"": 1768824300.761193, ""operations"": 5}, ""type"": {""ai_generated"": 0.01}, ""media"": {""id"": ""med_jYgZ21Oq6deuYAnPIdxYd"", ""uri"": ""Screenshot_20251218_155207.png""}}"
