task_id,image_col,image_path,status,http_status,error,ai_generated_score,flagged,raw_response
app_R_2BhyCb4ecx2QBdK_0001,app_screenshot1_path,data/qualtrics/team_example/endline/uploads/R_2BhyCb4ecx2QBdK/Screenshot_20251218_155324.png,ok,200,,0.21,0,"{""status"": ""success"", ""request"": {""id"": ""req_jYgZufrorRqKkkuJicXLA"", ""timestamp"": 1768824310.603613, ""operations"": 5}, ""type"": {""ai_generated"": 0.21}, ""media"": {""id"": ""med_jYgZZgtbnDCRASZZkIkiw"", ""uri"": ""Screenshot_20251218_155324.png""}}"
app_R_8lSyyTQnx32R75T_0002,app_screenshot1_path,data/qualtrics/team_example/endline/uploads/R_8lSyyTQnx32R75T/Screenshot_20251218_155324.png,ok,200,,0.25,0,"{""status"": ""success"", ""request"": {""id"": ""req_jYgZ7iLAO5xiwLuO6F43g"", ""timestamp"": 1768824311.78108, ""operations"": 5}, ""type"": {""ai_generated"": 0.25}, ""media"": {""id"": ""med_jYgZv1J9GGrr0pKnkzxoL"", ""uri"": ""Screenshot_20251218_155324.png""}}"
