task_id,image_col,image_path,status,http_status,error,ai_generated_score,flagged,raw_response
avg_R_2S1Te6xrLiZcMsT_0001,total_screenshot_path,data/qualtrics/team_example/baseline/uploads/R_2S1Te6xrLiZcMsT/Screenshot_2025_12_22_at_1.08.56_PM.png,ok,200,,0.01,0,"{""status"": ""success"", ""request"": {""id"": ""req_jYgXMc9XOgJ1cChDH5cl0"", ""timestamp"": 1768824226.413858, ""operations"": 5}, ""type"": {""ai_generated"": 0.01}, ""media"": {""id"": ""med_jYgXvO5txrPU4XEIFKbEL"", ""uri"": ""Screenshot_2025_12_22_at_1.08.56_PM.png""}}"
avg_R_8Ht7EwvrLWYcYT9_0002,total_screenshot_path,data/qualtrics/team_example/baseline/uploads/R_8Ht7EwvrLWYcYT9/ljjVlnYJE6a1dKeJiOdrxRpFDI.png,ok,200,,0.08,0,"{""status"": ""success"", ""request"": {""id"": ""req_jYgXKCGNRmyTkeXO4D4yu"", ""timestamp"": 1768824227.559139, ""operations"": 5}, ""type"": {""ai_generated"": 0.08}, ""media"": {""id"": ""med_jYgXLgx2A383o9tyzgJU8"", ""uri"": ""ljjVlnYJE6a1dKeJiOdrxRpFDI.png""}}"
