task_id,image_col,image_path,status,error,trufor_score,max_roi_score,n_rois,npz_path,best_roi_text,best_roi_conf,crop_path
avg_R_2S1Te6xrLiZcMsT_0001,total_screenshot_path,data/qualtrics/team_example/baseline/uploads/R_2S1Te6xrLiZcMsT/Screenshot_2025_12_22_at_1.08.56_PM.png,flagged,,0.20127834379673004,0.26948800683021545,2,/Users/christopherbarrie/Dropbox/nyu_projects/GSMS/GSME_compliance/data/qualtrics/team_example/baseline/results/trufor_npz/Screenshot_2025_12_22_at_1.08.56_PM.png.npz,hr 22 min,88.33333333333333,/Users/christopherbarrie/Dropbox/nyu_projects/GSMS/GSME_compliance/data/qualtrics/team_example/baseline/results/trufor_crops/avg_R_2S1Te6xrLiZcMsT_0001_total_screenshot_path_roi0.269_g0.201.png
avg_R_8Ht7EwvrLWYcYT9_0002,total_screenshot_path,data/qualtrics/team_example/baseline/uploads/R_8Ht7EwvrLWYcYT9/ljjVlnYJE6a1dKeJiOdrxRpFDI.png,ok,,0.040271103382110596,0.1765369325876236,1,/Users/christopherbarrie/Dropbox/nyu_projects/GSMS/GSME_compliance/data/qualtrics/team_example/baseline/results/trufor_npz/ljjVlnYJE6a1dKeJiOdrxRpFDI.png.npz,7h Om ©,93.0,
