respondent_id,device,screenshot_day_prefix,screenshot_day,total_hours,total_minutes,total_screenshot_file_id,total_screenshot_path
R_8Ht7EwvrLWYcYT9,iPhone,NA,NA,7,35,F_YQY6zSnCIMAY6gV,data/qualtrics/team_example/baseline/uploads/R_8Ht7EwvrLWYcYT9/ljjVlnYJE6a1dKeJiOdrxRpFDI.png
R_2S1Te6xrLiZcMsT,Android,5,Friday,3,22,F_3GktlsXbm8ZaGry,data/qualtrics/team_example/baseline/uploads/R_2S1Te6xrLiZcMsT/Screenshot_2025_12_22_at_1.08.56_PM.png
